Feature,Importance
resnet_171,0.001438453
resnet_357,0.0014375095
resnet_4,0.0014356538
resnet_219,0.0014300421
resnet_134,0.0014298138
resnet_41,0.0014239189
resnet_78,0.0014211008
yolo_107,0.0014203225
yolo_138,0.0014185429
yolo_249,0.001415762
yolo_188,0.0014139498
resnet_176,0.001412526
resnet_111,0.0014123623
resnet_109,0.0014115638
resnet_211,0.0014052249
yolo_106,0.0013970019
resnet_44,0.0013961158
yolo_92,0.0013951559
yolo_2,0.0013911378
resnet_69,0.0013882486
yolo_101,0.0013882375
resnet_496,0.0013874009
resnet_487,0.0013865476
resnet_352,0.0013812118
yolo_20,0.0013811473
resnet_253,0.0013775903
resnet_154,0.0013734085
yolo_148,0.0013656183
resnet_428,0.0013634607
resnet_443,0.0013632325
resnet_373,0.0013580248
resnet_234,0.001356236
resnet_194,0.0013529367
yolo_58,0.0013508096
resnet_409,0.0013507947
resnet_361,0.001350657
entropy,0.0013505478
yolo_210,0.0013501336
resnet_50,0.0013464267
resnet_71,0.0013456884
yolo_95,0.001339207
h_mean,0.0013389224
resnet_314,0.0013384173
resnet_172,0.0013366718
resnet_223,0.001336654
resnet_315,0.0013356846
resnet_83,0.0013350891
resnet_177,0.0013338109
resnet_117,0.0013332368
resnet_119,0.0013316481
yolo_27,0.0013301065
yolo_141,0.0013284725
resnet_85,0.0013272129
resnet_321,0.0013260202
resnet_195,0.0013259125
resnet_112,0.0013255635
resnet_469,0.0013199977
resnet_122,0.001316206
yolo_250,0.0013161837
resnet_115,0.0013135651
resnet_475,0.0013133831
yolo_82,0.0013131712
yolo_75,0.0013060311
resnet_370,0.0013048993
resnet_25,0.0013045033
resnet_292,0.0013011576
resnet_377,0.0013003018
yolo_185,0.0012994997
resnet_494,0.0012975985
resnet_106,0.0012919882
resnet_173,0.0012874749
resnet_108,0.0012797787
resnet_368,0.0012778876
yolo_162,0.0012719183
resnet_251,0.0012709243
resnet_462,0.0012701608
resnet_264,0.0012660866
resnet_309,0.001265294
resnet_397,0.0012650794
resnet_201,0.0012641018
resnet_5,0.0012601177
resnet_242,0.0012575395
resnet_269,0.0012554011
yolo_225,0.0012539034
yolo_59,0.001251002
resnet_281,0.0012504318
yolo_190,0.0012487321
yolo_12,0.0012466825
resnet_232,0.0012465235
yolo_22,0.001245119
resnet_279,0.0012396302
resnet_17,0.0012375651
resnet_141,0.0012352724
resnet_435,0.0012347326
yolo_100,0.0012331168
resnet_412,0.0012310102
resnet_30,0.0012238142
yolo_116,0.001222431
resnet_335,0.0012162455
resnet_217,0.0012144893
resnet_237,0.00121285
resnet_189,0.0012115187
resnet_459,0.0012095929
yolo_229,0.0012089291
resnet_268,0.0012088128
resnet_345,0.0012050297
yolo_40,0.0012024922
resnet_391,0.0012020387
resnet_465,0.0012014812
